time_minutes,discharge_m3s,reservoir_level_m
219.0,12275.84,496.796
220.0,12409.1,496.792
221.0,12543.15,496.787
222.0,12677.98,496.782
223.0,12813.6,496.777
224.0,12950.01,496.772
225.0,13087.19,496.767
226.0,13225.16,496.762
227.0,13363.92,496.757
228.0,13503.45,496.752
229.0,13643.77,496.747
230.0,13784.87,496.742
231.0,13926.75,496.736
232.0,14069.41,496.731
233.0,14212.85,496.726
234.0,14357.07,496.72
235.0,14502.07,496.715
236.0,14647.84,496.709
237.0,14794.39,496.703
238.0,14941.72,496.697
239.0,15089.82,496.692
240.0,15238.69,496.686
241.0,15388.34,496.68
242.0,15538.76,496.674
243.0,15689.95,496.668
244.0,15841.91,496.662
245.0,15994.63,496.655
246.0,16148.13,496.649
247.0,16302.4,496.643
248.0,16457.43,496.636
249.0,16613.22,496.63
250.0,16769.78,496.623
251.0,16927.1,496.617
252.0,17085.18,496.61
253.0,17244.02,496.603
254.0,17403.62,496.596
255.0,17563.98,496.589
256.0,17725.1,496.582
257.0,17886.97,496.575
258.0,18049.59,496.568
259.0,18212.96,496.561
260.0,18377.09,496.554
261.0,18541.97,496.546
262.0,18707.59,496.539
263.0,18873.96,496.531
264.0,19041.08,496.524
265.0,19208.93,496.516
266.0,19377.53,496.509
267.0,19546.87,496.501
268.0,19716.95,496.493
269.0,19887.77,496.485
270.0,20059.32,496.477
271.0,20231.61,496.469
272.0,20404.62,496.461
273.0,20578.37,496.453
274.0,20752.85,496.444
275.0,20928.05,496.436
276.0,21103.98,496.427
277.0,21280.63,496.419
278.0,21458.0,496.41
279.0,21636.09,496.401
280.0,21814.9,496.393
281.0,21994.43,496.384
282.0,22174.66,496.375
283.0,22355.61,496.366
284.0,22537.27,496.357
285.0,22719.64,496.348
286.0,22902.71,496.338
287.0,23086.48,496.329
288.0,23270.96,496.319
289.0,23456.13,496.31
290.0,23642.0,496.3
291.0,23828.57,496.291
292.0,24015.82,496.281
293.0,24203.77,496.271
294.0,24392.41,496.261
295.0,24581.73,496.251
296.0,24771.73,496.241
297.0,24962.42,496.231
298.0,25153.78,496.22
299.0,25345.82,496.21
300.0,25538.53,496.2
301.0,25731.92,496.189
302.0,25925.97,496.178
303.0,26120.69,496.168
304.0,26316.07,496.157
305.0,26512.12,496.146
306.0,26708.82,496.135
307.0,26906.17,496.124
308.0,27104.18,496.113
309.0,27302.85,496.102
310.0,27502.15,496.09
311.0,27702.11,496.079
312.0,27902.7,496.067
313.0,28103.94,496.056
314.0,28305.81,496.044
315.0,28508.32,496.032
316.0,28711.45,496.02
317.0,28915.22,496.008
318.0,29119.61,495.996
319.0,29324.62,495.984
320.0,29530.26,495.972
321.0,29736.51,495.959
322.0,29943.37,495.947
323.0,30150.84,495.934
324.0,30358.92,495.922
325.0,30567.61,495.909
326.0,30776.89,495.896
327.0,30986.78,495.883
328.0,31197.26,495.87
329.0,31408.33,495.857
330.0,31619.99,495.844
331.0,31832.23,495.83
332.0,32045.06,495.817
333.0,32258.47,495.803
334.0,32472.45,495.79
335.0,32687.0,495.776
336.0,32902.13,495.762
337.0,33117.82,495.748
338.0,33334.07,495.734
339.0,33550.88,495.72
340.0,33768.24,495.706
341.0,33986.16,495.692
342.0,34204.62,495.677
343.0,34423.63,495.663
344.0,34643.18,495.648
345.0,34863.27,495.633
346.0,35083.9,495.618
347.0,35305.05,495.603
348.0,35526.73,495.588
349.0,35748.94,495.573
350.0,35971.66,495.558
351.0,36194.9,495.542
352.0,36418.65,495.527
353.0,36642.91,495.511
354.0,36867.68,495.496
355.0,37092.94,495.48
356.0,37318.7,495.464
357.0,37544.96,495.448
358.0,37771.71,495.432
359.0,37998.94,495.416
360.0,38226.65,495.399
361.0,38454.84,495.383
362.0,38683.5,495.366
363.0,38912.63,495.35
364.0,39142.23,495.333
365.0,39372.29,495.316
366.0,39602.81,495.299
367.0,39833.78,495.282
368.0,40065.2,495.265
369.0,40297.06,495.247
370.0,40529.37,495.23
371.0,40762.11,495.212
372.0,40995.28,495.195
373.0,41228.89,495.177
374.0,41462.91,495.159
375.0,41697.36,495.141
376.0,41932.22,495.123
377.0,42167.5,495.104
378.0,42403.18,495.086
379.0,42639.26,495.068
380.0,42875.74,495.049
381.0,43112.62,495.03
382.0,43349.88,495.011
383.0,43587.53,494.992
384.0,43825.56,494.973
385.0,44063.96,494.954
386.0,44302.74,494.935
387.0,44541.88,494.916
388.0,44781.39,494.896
389.0,45021.25,494.876
390.0,45261.47,494.857
391.0,45502.03,494.837
392.0,45742.94,494.817
393.0,45984.19,494.797
394.0,46225.77,494.776
395.0,46467.68,494.756
396.0,46709.92,494.735
397.0,46952.47,494.715
398.0,47195.35,494.694
399.0,47438.53,494.673
400.0,47682.02,494.652
401.0,47925.81,494.631
402.0,48169.89,494.61
403.0,48414.27,494.588
404.0,48658.93,494.567
405.0,48903.88,494.545
406.0,49149.1,494.524
407.0,49394.59,494.502
408.0,49640.35,494.48
409.0,49886.37,494.458
410.0,50132.64,494.435
411.0,50379.17,494.413
412.0,50625.94,494.391
413.0,50872.96,494.368
414.0,51120.21,494.345
415.0,51367.69,494.322
416.0,51615.39,494.299
417.0,51863.32,494.276
418.0,52111.46,494.253
419.0,52359.82,494.23
420.0,52608.38,494.206
421.0,52857.13,494.182
422.0,53106.08,494.159
423.0,53355.22,494.135
424.0,53604.55,494.111
425.0,53854.05,494.086
426.0,54103.72,494.062
427.0,54353.57,494.038
428.0,54603.57,494.013
429.0,54853.73,493.988
430.0,55104.05,493.964
431.0,55354.51,493.939
432.0,55605.1,493.913
433.0,55855.84,493.888
434.0,56106.7,493.863
435.0,56357.69,493.837
436.0,56608.79,493.812
437.0,56860.01,493.786
438.0,57111.34,493.76
439.0,57362.76,493.734
440.0,57614.28,493.708
441.0,57865.9,493.681
442.0,58117.59,493.655
443.0,58369.37,493.628
444.0,58621.22,493.602
445.0,58873.13,493.575
446.0,59125.11,493.548
447.0,59377.14,493.52
448.0,59629.23,493.493
449.0,59881.35,493.466
450.0,60133.52,493.438
451.0,60385.72,493.41
452.0,60637.94,493.383
453.0,60890.19,493.355
454.0,61142.45,493.326
455.0,61394.72,493.298
456.0,61646.99,493.27
457.0,61899.27,493.241
458.0,62151.53,493.212
459.0,62403.77,493.184
460.0,62656.0,493.154
461.0,62908.2,493.125
462.0,63160.37,493.096
463.0,63412.49,493.067
464.0,63664.58,493.037
465.0,63916.61,493.007
466.0,64168.58,492.977
467.0,64420.49,492.947
468.0,64672.34,492.917
469.0,64924.1,492.887
470.0,65175.79,492.856
471.0,65427.39,492.826
472.0,65678.89,492.795
473.0,65930.29,492.764
474.0,66181.59,492.733
475.0,66432.77,492.702
476.0,66683.84,492.671
477.0,66934.77,492.639
478.0,67185.58,492.607
479.0,67436.25,492.576
480.0,67686.78,492.544
481.0,67937.15,492.512
482.0,68187.37,492.479
483.0,68437.42,492.447
484.0,68687.31,492.414
485.0,68937.02,492.382
486.0,69186.54,492.349
487.0,69435.88,492.316
488.0,69685.02,492.283
489.0,69933.96,492.249
490.0,70182.69,492.216
491.0,70431.21,492.182
492.0,70679.51,492.148
493.0,70927.57,492.114
494.0,71175.41,492.08
495.0,71423.0,492.046
496.0,71670.34,492.012
497.0,71917.43,491.977
498.0,72164.26,491.942
499.0,72410.82,491.907
500.0,72657.11,491.872
501.0,72903.12,491.837
502.0,73148.84,491.802
503.0,73394.26,491.766
504.0,73639.39,491.731
505.0,73884.21,491.695
506.0,74128.71,491.659
507.0,74372.89,491.623
508.0,74616.75,491.586
509.0,74860.27,491.55
510.0,75103.45,491.513
511.0,75346.28,491.477
512.0,75588.76,491.44
513.0,75830.87,491.403
514.0,76072.62,491.365
515.0,76313.99,491.328
516.0,76554.98,491.29
517.0,76795.59,491.252
518.0,77035.79,491.215
519.0,77275.59,491.176
520.0,77514.99,491.138
521.0,77753.97,491.1
522.0,77992.52,491.061
523.0,78230.64,491.022
524.0,78468.33,490.984
525.0,78705.57,490.945
526.0,78942.37,490.905
527.0,79178.7,490.866
528.0,79414.57,490.826
529.0,79649.96,490.787
530.0,79884.88,490.747
531.0,80119.31,490.707
532.0,80353.25,490.666
533.0,80586.69,490.626
534.0,80819.62,490.585
535.0,81052.03,490.545
536.0,81283.93,490.504
537.0,81515.3,490.463
538.0,81746.13,490.421
539.0,81976.41,490.38
540.0,82206.15,490.338
541.0,82435.33,490.297
542.0,82663.95,490.255
543.0,82892.0,490.212
544.0,83119.46,490.17
545.0,83346.34,490.128
546.0,83572.63,490.085
547.0,83798.32,490.042
548.0,84023.4,489.999
549.0,84247.87,489.956
550.0,84471.72,489.913
551.0,84694.93,489.869
552.0,84917.51,489.826
553.0,85139.45,489.782
554.0,85157.85,489.738
555.0,84926.17,489.694
556.0,84695.05,489.65
557.0,84464.49,489.606
558.0,84234.49,489.562
559.0,84005.04,489.518
560.0,83776.15,489.475
561.0,83547.82,489.431
562.0,83320.04,489.388
563.0,83092.81,489.344
564.0,82866.13,489.301
565.0,82640.0,489.257
566.0,82414.43,489.214
567.0,82189.4,489.171
568.0,81964.92,489.128
569.0,81740.99,489.085
570.0,81517.61,489.041
571.0,81294.77,488.999
572.0,81072.47,488.956
573.0,80850.72,488.913
574.0,80629.52,488.87
575.0,80408.85,488.827
576.0,80188.73,488.785
577.0,79969.14,488.742
578.0,79750.1,488.699
579.0,79531.59,488.657
580.0,79313.62,488.614
581.0,79096.19,488.572
582.0,78879.29,488.53
583.0,78662.93,488.488
584.0,78447.1,488.445
585.0,78231.8,488.403
586.0,78017.04,488.361
587.0,77802.8,488.319
588.0,77589.1,488.277
589.0,77375.92,488.235
590.0,77163.28,488.194
591.0,76951.16,488.152
592.0,76739.57,488.11
593.0,76528.5,488.069
594.0,76317.96,488.027
595.0,76107.94,487.986
596.0,75898.44,487.944
597.0,75689.47,487.903
598.0,75481.01,487.861
599.0,75273.08,487.82
600.0,75065.67,487.779
601.0,74858.77,487.738
602.0,74652.39,487.697
603.0,74446.53,487.656
604.0,74241.18,487.615
605.0,74036.35,487.574
606.0,73832.03,487.533
607.0,73628.22,487.493
608.0,73424.93,487.452
609.0,73222.15,487.411
610.0,73019.87,487.371
611.0,72818.11,487.33
612.0,72616.85,487.29
613.0,72416.11,487.249
614.0,72215.86,487.209
615.0,72016.13,487.169
616.0,71816.89,487.129
617.0,71618.17,487.088
618.0,71419.94,487.048
619.0,71222.22,487.008
620.0,71024.99,486.968
621.0,70828.27,486.929
622.0,70632.04,486.889
623.0,70436.32,486.849
624.0,70241.09,486.809
625.0,70046.36,486.77
626.0,69852.12,486.73
627.0,69658.38,486.691
628.0,69465.13,486.651
629.0,69272.37,486.612
630.0,69080.11,486.572
631.0,68888.34,486.533
632.0,68697.05,486.494
633.0,68506.26,486.455
634.0,68315.95,486.416
635.0,68126.14,486.377
636.0,67936.8,486.338
637.0,67747.96,486.299
638.0,67559.6,486.26
639.0,67371.72,486.221
640.0,67184.32,486.182
641.0,66997.41,486.144
642.0,66810.98,486.105
643.0,66625.02,486.067
644.0,66439.55,486.028
645.0,66254.56,485.99
646.0,66070.04,485.951
647.0,65886.0,485.913
648.0,65702.43,485.875
649.0,65519.34,485.837
650.0,65336.73,485.799
651.0,65154.58,485.761
652.0,64972.91,485.723
653.0,64791.71,485.685
654.0,64610.98,485.647
655.0,64430.72,485.609
656.0,64250.92,485.571
657.0,64071.6,485.534
658.0,63892.74,485.496
659.0,63714.35,485.458
660.0,63536.42,485.421
661.0,63358.95,485.383
662.0,63181.95,485.346
663.0,63005.41,485.309
664.0,62829.34,485.271
665.0,62653.72,485.234
666.0,62478.56,485.197
667.0,62303.86,485.16
668.0,62129.62,485.123
669.0,61955.83,485.086
670.0,61782.5,485.049
671.0,61609.63,485.012
672.0,61437.21,484.975
673.0,61265.24,484.939
674.0,61093.73,484.902
675.0,60922.67,484.866
676.0,60752.05,484.829
677.0,60581.89,484.792
678.0,60412.18,484.756
679.0,60242.91,484.72
680.0,60074.09,484.683
681.0,59905.72,484.647
682.0,59737.79,484.611
683.0,59570.3,484.575
684.0,59403.26,484.539
685.0,59236.67,484.503
686.0,59070.51,484.467
687.0,58904.8,484.431
688.0,58739.52,484.395
689.0,58574.68,484.359
690.0,58410.29,484.324
691.0,58246.32,484.288
692.0,58082.8,484.252
693.0,57919.71,484.217
694.0,57757.06,484.181
695.0,57594.84,484.146
696.0,57433.05,484.111
697.0,57271.69,484.075
698.0,57110.77,484.04
699.0,56950.27,484.005
700.0,56790.21,483.97
701.0,56630.57,483.935
702.0,56471.36,483.9
703.0,56312.58,483.865
704.0,56154.22,483.83
705.0,55996.29,483.795
706.0,55838.78,483.76
707.0,55681.7,483.726
708.0,55525.03,483.691
709.0,55368.79,483.656
710.0,55212.97,483.622
711.0,55057.57,483.587
712.0,54902.59,483.553
713.0,54748.03,483.519
714.0,54593.88,483.484
715.0,54440.15,483.45
716.0,54286.83,483.416
717.0,54133.93,483.382
718.0,53981.45,483.348
719.0,53829.37,483.314
720.0,53677.71,483.28
721.0,53526.46,483.246
722.0,53375.62,483.212
723.0,53225.19,483.178
724.0,53075.16,483.144
725.0,52925.55,483.111
726.0,52776.34,483.077
727.0,52627.54,483.044
728.0,52479.14,483.01
729.0,52331.14,482.977
730.0,52183.55,482.943
731.0,52036.36,482.91
732.0,51889.58,482.877
733.0,51743.19,482.844
734.0,51597.21,482.81
735.0,51451.62,482.777
736.0,51306.43,482.744
737.0,51161.64,482.711
738.0,51017.24,482.679
739.0,50873.24,482.646
740.0,50729.64,482.613
741.0,50586.43,482.58
742.0,50443.61,482.547
743.0,50301.18,482.515
744.0,50159.15,482.482
745.0,50017.5,482.45
746.0,49876.25,482.417
747.0,49735.38,482.385
748.0,49594.9,482.353
749.0,49454.81,482.32
750.0,49315.11,482.288
751.0,49175.79,482.256
752.0,49036.85,482.224
753.0,48898.3,482.192
754.0,48760.13,482.16
755.0,48622.34,482.128
756.0,48484.94,482.096
757.0,48347.91,482.064
758.0,48211.27,482.032
759.0,48075.0,482.0
760.0,47939.11,481.969
761.0,47803.6,481.937
762.0,47668.46,481.906
763.0,47533.7,481.874
764.0,47399.32,481.843
765.0,47265.3,481.811
766.0,47131.66,481.78
767.0,46998.39,481.749
768.0,46865.5,481.718
769.0,46732.97,481.686
770.0,46600.81,481.655
771.0,46469.02,481.624
772.0,46337.6,481.593
773.0,46206.55,481.562
774.0,46075.86,481.531
775.0,45945.54,481.501
776.0,45815.58,481.47
777.0,45685.99,481.439
778.0,45556.75,481.408
779.0,45427.88,481.378
780.0,45299.38,481.347
781.0,45171.23,481.317
782.0,45043.44,481.286
783.0,44916.01,481.256
784.0,44788.94,481.226
785.0,44662.22,481.195
786.0,44535.86,481.165
787.0,44409.86,481.135
788.0,44284.21,481.105
789.0,44158.92,481.075
790.0,44033.98,481.045
791.0,43909.39,481.015
792.0,43785.15,480.985
793.0,43661.26,480.955
794.0,43537.72,480.925
795.0,43414.53,480.896
796.0,43291.69,480.866
797.0,43169.2,480.836
798.0,43047.05,480.807
799.0,42925.25,480.777
800.0,42803.79,480.748
801.0,42682.68,480.718
802.0,42561.91,480.689
803.0,42441.49,480.66
804.0,42321.4,480.63
805.0,42201.66,480.601
806.0,42082.25,480.572
807.0,41963.19,480.543
808.0,41844.46,480.514
809.0,41726.08,480.485
810.0,41608.02,480.456
811.0,41490.31,480.427
812.0,41372.93,480.398
813.0,41255.88,480.37
814.0,41139.17,480.341
815.0,41022.79,480.312
816.0,40906.75,480.284
817.0,40791.03,480.255
818.0,40675.65,480.227
819.0,40560.59,480.198
820.0,40445.86,480.17
821.0,40331.47,480.142
822.0,40217.4,480.113
823.0,40103.65,480.085
824.0,39990.23,480.057
825.0,39877.14,480.029
826.0,39764.37,480.001
827.0,39651.93,479.973
828.0,39539.8,479.945
829.0,39428.0,479.917
830.0,39316.53,479.889
831.0,39205.37,479.861
832.0,39094.53,479.833
833.0,38984.01,479.806
834.0,38873.8,479.778
835.0,38763.92,479.75
836.0,38654.35,479.723
837.0,38545.1,479.695
838.0,38436.16,479.668
839.0,38327.54,479.641
840.0,38219.23,479.613
841.0,38111.23,479.586
842.0,38003.54,479.559
843.0,37896.17,479.531
844.0,37789.1,479.504
845.0,37682.35,479.477
846.0,37575.9,479.45
847.0,37469.77,479.423
848.0,37363.94,479.396
849.0,37258.41,479.369
850.0,37153.2,479.343
851.0,37048.28,479.316
852.0,36943.67,479.289
853.0,36839.37,479.262
854.0,36735.37,479.236
855.0,36631.67,479.209
856.0,36528.27,479.183
857.0,36425.17,479.156
858.0,36322.37,479.13
859.0,36219.87,479.103
860.0,36117.67,479.077
861.0,36015.77,479.051
862.0,35914.16,479.025
863.0,35812.85,478.999
864.0,35711.84,478.972
865.0,35611.12,478.946
866.0,35510.69,478.92
867.0,35410.56,478.894
868.0,35310.72,478.868
869.0,35211.17,478.843
870.0,35111.91,478.817
871.0,35012.94,478.791
872.0,34914.26,478.765
873.0,34815.87,478.74
874.0,34717.77,478.714
875.0,34619.96,478.688
876.0,34522.43,478.663
877.0,34425.19,478.637
878.0,34328.23,478.612
879.0,34231.56,478.587
880.0,34135.17,478.561
881.0,34039.06,478.536
882.0,33943.24,478.511
883.0,33847.69,478.486
884.0,33752.43,478.461
885.0,33657.45,478.436
886.0,33562.75,478.411
887.0,33468.32,478.386
888.0,33374.18,478.361
889.0,33280.31,478.336
890.0,33186.71,478.311
891.0,33093.4,478.286
892.0,33000.35,478.261
893.0,32907.59,478.237
894.0,32815.09,478.212
895.0,32722.87,478.188
896.0,32630.92,478.163
897.0,32539.24,478.138
898.0,32447.84,478.114
899.0,32356.7,478.09
900.0,32265.83,478.065
901.0,32175.23,478.041
902.0,32084.9,478.017
903.0,31994.84,477.993
904.0,31905.04,477.968
905.0,31815.51,477.944
906.0,31726.24,477.92
907.0,31637.24,477.896
908.0,31548.51,477.872
909.0,31460.03,477.848
910.0,31371.82,477.825
911.0,31283.87,477.801
912.0,31196.18,477.777
913.0,31108.75,477.753
914.0,31021.58,477.73
915.0,30934.67,477.706
916.0,30848.02,477.682
917.0,30761.62,477.659
918.0,30675.48,477.635
919.0,30589.6,477.612
920.0,30503.98,477.588
921.0,30418.6,477.565
922.0,30333.49,477.542
923.0,30248.62,477.519
924.0,30164.01,477.495
925.0,30079.65,477.472
926.0,29995.55,477.449
927.0,29911.69,477.426
928.0,29828.08,477.403
929.0,29744.73,477.38
930.0,29661.62,477.357
931.0,29578.76,477.334
932.0,29496.15,477.311
933.0,29413.78,477.289
934.0,29331.66,477.266
935.0,29249.79,477.243
936.0,29168.16,477.22
937.0,29086.78,477.198
938.0,29005.64,477.175
939.0,28924.74,477.153
940.0,28844.08,477.13
941.0,28763.67,477.108
942.0,28683.5,477.086
943.0,28603.56,477.063
944.0,28523.87,477.041
945.0,28444.41,477.019
946.0,28365.2,476.996
947.0,28286.22,476.974
948.0,28207.48,476.952
949.0,28128.97,476.93
950.0,28050.7,476.908
951.0,27972.67,476.886
952.0,27894.87,476.864
953.0,27817.3,476.842
954.0,27739.97,476.82
955.0,27662.87,476.799
956.0,27586.0,476.777
957.0,27509.36,476.755
958.0,27432.96,476.734
959.0,27356.78,476.712
960.0,27280.83,476.69
961.0,27205.11,476.669
962.0,27129.62,476.647
963.0,27054.36,476.626
964.0,26979.32,476.604
965.0,26904.51,476.583
966.0,26829.93,476.562
967.0,26755.57,476.541
968.0,26681.43,476.519
969.0,26607.52,476.498
970.0,26533.83,476.477
971.0,26460.37,476.456
972.0,26387.12,476.435
973.0,26314.1,476.414
974.0,26241.3,476.393
975.0,26168.72,476.372
976.0,26096.35,476.351
977.0,26024.21,476.33
978.0,25952.29,476.309
979.0,25880.58,476.289
980.0,25809.09,476.268
981.0,25737.81,476.247
982.0,25666.75,476.227
983.0,25595.91,476.206
984.0,25525.28,476.186
985.0,25454.87,476.165
986.0,25384.66,476.145
987.0,25314.67,476.124
988.0,25244.9,476.104
989.0,25175.33,476.084
990.0,25105.98,476.063
991.0,25036.83,476.043
992.0,24967.9,476.023
993.0,24899.18,476.003
994.0,24830.66,475.983
995.0,24762.35,475.963
996.0,24694.25,475.942
997.0,24626.36,475.922
998.0,24558.67,475.903
999.0,24491.19,475.883
1000.0,24423.91,475.863
1001.0,24356.84,475.843
1002.0,24289.97,475.823
1003.0,24223.3,475.803
1004.0,24156.84,475.784
1005.0,24090.58,475.764
1006.0,24024.52,475.744
1007.0,23958.66,475.725
1008.0,23893.01,475.705
1009.0,23827.55,475.686
1010.0,23762.29,475.666
1011.0,23697.23,475.647
1012.0,23632.37,475.628
1013.0,23567.71,475.608
1014.0,23503.24,475.589
1015.0,23438.97,475.57
1016.0,23374.9,475.551
1017.0,23311.02,475.531
1018.0,23247.34,475.512
1019.0,23183.85,475.493
1020.0,23120.55,475.474
1021.0,23057.45,475.455
1022.0,22994.54,475.436
1023.0,22931.83,475.417
1024.0,22869.3,475.398
1025.0,22806.96,475.379
1026.0,22744.82,475.361
1027.0,22682.86,475.342
1028.0,22621.1,475.323
1029.0,22559.52,475.304
1030.0,22498.13,475.286
1031.0,22436.93,475.267
1032.0,22375.92,475.249
1033.0,22315.09,475.23
1034.0,22254.45,475.212
1035.0,22193.99,475.193
1036.0,22133.72,475.175
1037.0,22073.63,475.156
1038.0,22013.73,475.138
1039.0,21954.01,475.12
1040.0,21894.47,475.101
1041.0,21835.12,475.083
1042.0,21775.95,475.065
1043.0,21716.96,475.047
1044.0,21658.14,475.029
1045.0,21599.51,475.011
1046.0,21541.06,474.993
1047.0,21482.79,474.975
1048.0,21424.7,474.957
1049.0,21366.78,474.939
1050.0,21309.04,474.921
1051.0,21251.48,474.903
1052.0,21194.1,474.885
1053.0,21136.89,474.868
1054.0,21079.86,474.85
1055.0,21023.0,474.832
1056.0,20966.32,474.814
1057.0,20909.81,474.797
1058.0,20853.47,474.779
1059.0,20797.31,474.762
1060.0,20741.32,474.744
1061.0,20685.5,474.727
1062.0,20629.85,474.709
1063.0,20574.37,474.692
1064.0,20519.06,474.675
1065.0,20463.93,474.657
