time_minutes,discharge_m3s,reservoir_level_m
1066.0,20408.96,474.64
1067.0,20354.16,474.623
1068.0,20299.53,474.606
1069.0,20245.07,474.588
1070.0,20190.77,474.571
1071.0,20136.65,474.554
1072.0,20082.68,474.537
1073.0,20028.89,474.52
1074.0,19975.26,474.503
1075.0,19921.79,474.486
1076.0,19868.49,474.469
1077.0,19815.35,474.452
1078.0,19762.38,474.436
1079.0,19709.57,474.419
1080.0,19656.92,474.402
1081.0,19604.43,474.385
1082.0,19552.1,474.369
1083.0,19499.94,474.352
1084.0,19447.94,474.335
1085.0,19396.09,474.319
1086.0,19344.41,474.302
1087.0,19292.88,474.286
1088.0,19241.52,474.269
1089.0,19190.31,474.253
1090.0,19139.26,474.236
1091.0,19088.36,474.22
1092.0,19037.63,474.204
1093.0,18987.04,474.187
1094.0,18936.62,474.171
1095.0,18886.35,474.155
1096.0,18836.23,474.139
1097.0,18786.27,474.122
1098.0,18736.47,474.106
1099.0,18686.81,474.09
1100.0,18637.31,474.074
1101.0,18587.97,474.058
1102.0,18538.77,474.042
1103.0,18489.73,474.026
1104.0,18440.83,474.01
1105.0,18392.09,473.994
1106.0,18343.5,473.979
1107.0,18295.06,473.963
1108.0,18246.76,473.947
1109.0,18198.62,473.931
1110.0,18150.62,473.916
1111.0,18102.77,473.9
1112.0,18055.07,473.884
1113.0,18007.52,473.869
1114.0,17960.11,473.853
1115.0,17912.85,473.837
1116.0,17865.74,473.822
1117.0,17818.77,473.806
1118.0,17771.94,473.791
1119.0,17725.26,473.776
1120.0,17678.73,473.76
1121.0,17632.33,473.745
1122.0,17586.08,473.73
1123.0,17539.98,473.714
1124.0,17494.01,473.699
1125.0,17448.19,473.684
1126.0,17402.51,473.669
1127.0,17356.96,473.654
1128.0,17311.56,473.638
1129.0,17266.3,473.623
1130.0,17221.18,473.608
1131.0,17176.2,473.593
1132.0,17131.36,473.578
1133.0,17086.65,473.563
1134.0,17042.09,473.549
1135.0,16997.66,473.534
1136.0,16953.37,473.519
1137.0,16909.21,473.504
1138.0,16865.19,473.489
1139.0,16821.31,473.474
1140.0,16777.56,473.46
1141.0,16733.95,473.445
1142.0,16690.47,473.43
1143.0,16647.13,473.416
1144.0,16603.92,473.401
1145.0,16560.84,473.387
1146.0,16517.89,473.372
1147.0,16475.08,473.358
1148.0,16432.4,473.343
1149.0,16389.86,473.329
1150.0,16347.44,473.314
1151.0,16305.15,473.3
1152.0,16263.0,473.286
1153.0,16220.97,473.271
1154.0,16179.08,473.257
1155.0,16137.31,473.243
1156.0,16095.67,473.229
1157.0,16054.17,473.214
1158.0,16012.79,473.2
1159.0,15971.53,473.186
1160.0,15930.41,473.172
1161.0,15889.41,473.158
1162.0,15848.54,473.144
1163.0,15807.79,473.13
1164.0,15767.17,473.116
1165.0,15726.68,473.102
1166.0,15686.31,473.088
1167.0,15646.06,473.074
1168.0,15605.94,473.06
1169.0,15565.94,473.047
1170.0,15526.07,473.033
1171.0,15486.32,473.019
1172.0,15446.69,473.005
1173.0,15407.18,472.992
1174.0,15367.8,472.978
1175.0,15328.53,472.964
1176.0,15289.39,472.951
1177.0,15250.37,472.937
1178.0,15211.47,472.924
1179.0,15172.69,472.91
1180.0,15134.03,472.897
1181.0,15095.49,472.883
1182.0,15057.07,472.87
1183.0,15018.76,472.856
1184.0,14980.57,472.843
1185.0,14942.51,472.83
1186.0,14904.56,472.816
1187.0,14866.72,472.803
1188.0,14829.0,472.79
1189.0,14791.4,472.777
1190.0,14753.92,472.764
1191.0,14716.55,472.75
1192.0,14679.29,472.737
1193.0,14642.15,472.724
1194.0,14605.13,472.711
1195.0,14568.22,472.698
1196.0,14531.42,472.685
1197.0,14494.74,472.672
1198.0,14458.17,472.659
1199.0,14421.71,472.646
1200.0,14385.36,472.633
1201.0,14349.13,472.62
1202.0,14313.01,472.608
1203.0,14277.0,472.595
1204.0,14241.1,472.582
1205.0,14205.31,472.569
1206.0,14169.63,472.557
1207.0,14134.06,472.544
1208.0,14098.6,472.531
1209.0,14063.25,472.519
1210.0,14028.01,472.506
1211.0,13992.88,472.493
1212.0,13957.85,472.481
1213.0,13922.94,472.468
1214.0,13888.13,472.456
1215.0,13853.43,472.443
1216.0,13818.83,472.431
1217.0,13784.34,472.418
1218.0,13749.96,472.406
1219.0,13715.68,472.394
1220.0,13681.51,472.381
1221.0,13647.45,472.369
1222.0,13613.49,472.357
1223.0,13579.63,472.344
1224.0,13545.88,472.332
1225.0,13512.23,472.32
1226.0,13478.68,472.308
1227.0,13445.24,472.296
1228.0,13411.9,472.284
1229.0,13378.67,472.271
1230.0,13345.53,472.259
1231.0,13312.5,472.247
1232.0,13279.57,472.235
1233.0,13246.74,472.223
1234.0,13214.01,472.211
1235.0,13181.38,472.199
1236.0,13148.85,472.188
1237.0,13116.43,472.176
1238.0,13084.1,472.164
1239.0,13051.87,472.152
1240.0,13019.74,472.14
1241.0,12987.71,472.128
1242.0,12955.77,472.117
1243.0,12923.94,472.105
1244.0,12892.2,472.093
1245.0,12860.56,472.082
1246.0,12829.02,472.07
1247.0,12797.58,472.058
1248.0,12766.23,472.047
1249.0,12734.97,472.035
1250.0,12703.82,472.024
1251.0,12672.76,472.012
1252.0,12641.79,472.001
1253.0,12610.92,471.989
1254.0,12580.14,471.978
1255.0,12549.46,471.966
1256.0,12518.87,471.955
1257.0,12488.38,471.944
1258.0,12457.98,471.932
1259.0,12427.67,471.921
1260.0,12397.46,471.91
1261.0,12367.34,471.898
1262.0,12337.31,471.887
1263.0,12307.37,471.876
1264.0,12277.52,471.865
1265.0,12247.77,471.854
1266.0,12218.11,471.842
1267.0,12188.53,471.831
1268.0,12159.05,471.82
1269.0,12129.66,471.809
1270.0,12100.36,471.798
1271.0,12071.15,471.787
1272.0,12042.03,471.776
1273.0,12012.99,471.765
1274.0,11984.05,471.754
1275.0,11955.19,471.743
1276.0,11926.42,471.732
1277.0,11897.75,471.722
1278.0,11869.15,471.711
1279.0,11840.65,471.7
1280.0,11812.23,471.689
1281.0,11783.9,471.678
1282.0,11755.66,471.668
1283.0,11727.5,471.657
1284.0,11699.43,471.646
1285.0,11671.44,471.635
1286.0,11643.54,471.625
1287.0,11615.73,471.614
1288.0,11588.0,471.604
1289.0,11560.35,471.593
1290.0,11532.79,471.582
1291.0,11505.32,471.572
1292.0,11477.92,471.561
1293.0,11450.61,471.551
1294.0,11423.39,471.54
1295.0,11396.25,471.53
1296.0,11369.19,471.52
1297.0,11342.21,471.509
1298.0,11315.31,471.499
1299.0,11288.5,471.488
1300.0,11261.77,471.478
1301.0,11235.12,471.468
1302.0,11208.55,471.458
1303.0,11182.06,471.447
1304.0,11155.66,471.437
1305.0,11129.33,471.427
1306.0,11103.08,471.417
1307.0,11076.92,471.407
1308.0,11050.83,471.396
1309.0,11024.82,471.386
1310.0,10998.89,471.376
1311.0,10973.04,471.366
1312.0,10947.27,471.356
1313.0,10921.58,471.346
1314.0,10895.97,471.336
1315.0,10870.43,471.326
1316.0,10844.97,471.316
1317.0,10819.59,471.306
1318.0,10794.29,471.296
1319.0,10769.06,471.286
1320.0,10743.91,471.276
1321.0,10718.84,471.267
1322.0,10693.84,471.257
1323.0,10668.92,471.247
1324.0,10644.07,471.237
1325.0,10619.3,471.227
1326.0,10594.6,471.218
1327.0,10569.98,471.208
1328.0,10545.44,471.198
1329.0,10520.97,471.189
1330.0,10496.57,471.179
1331.0,10472.24,471.169
1332.0,10447.99,471.16
1333.0,10423.82,471.15
1334.0,10399.72,471.14
1335.0,10375.69,471.131
1336.0,10351.73,471.121
1337.0,10327.84,471.112
1338.0,10304.03,471.102
1339.0,10280.29,471.093
1340.0,10256.62,471.084
1341.0,10233.03,471.074
1342.0,10209.5,471.065
1343.0,10186.05,471.055
1344.0,10162.67,471.046
1345.0,10139.35,471.037
1346.0,10116.11,471.027
1347.0,10092.94,471.018
1348.0,10069.84,471.009
1349.0,10046.81,471.0
1350.0,10023.85,470.99
1351.0,10000.95,470.981
1352.0,9978.13,470.972
1353.0,9955.38,470.963
1354.0,9932.69,470.954
1355.0,9910.07,470.944
1356.0,9887.52,470.935
1357.0,9865.04,470.926
1358.0,9842.63,470.917
1359.0,9820.28,470.908
1360.0,9798.0,470.899
1361.0,9775.79,470.89
1362.0,9753.65,470.881
1363.0,9731.57,470.872
1364.0,9709.56,470.863
1365.0,9687.62,470.854
1366.0,9665.74,470.845
1367.0,9643.93,470.836
1368.0,9622.18,470.828
1369.0,9600.5,470.819
1370.0,9578.88,470.81
1371.0,9557.33,470.801
1372.0,9535.84,470.792
1373.0,9514.42,470.784
1374.0,9493.06,470.775
1375.0,9471.77,470.766
1376.0,9450.54,470.757
1377.0,9429.38,470.749
1378.0,9408.27,470.74
1379.0,9387.24,470.731
1380.0,9366.26,470.723
1381.0,9345.35,470.714
1382.0,9324.5,470.705
1383.0,9303.71,470.697
1384.0,9282.99,470.688
1385.0,9262.32,470.68
1386.0,9241.72,470.671
1387.0,9221.18,470.663
1388.0,9200.71,470.654
1389.0,9180.29,470.646
1390.0,9159.94,470.637
1391.0,9139.64,470.629
1392.0,9119.41,470.621
1393.0,9099.24,470.612
1394.0,9079.13,470.604
1395.0,9059.07,470.595
1396.0,9039.08,470.587
1397.0,9019.15,470.579
1398.0,8999.28,470.571
1399.0,8979.46,470.562
1400.0,8959.71,470.554
1401.0,8940.02,470.546
1402.0,8920.38,470.538
1403.0,8900.8,470.529
1404.0,8881.28,470.521
1405.0,8861.82,470.513
1406.0,8842.42,470.505
1407.0,8823.08,470.497
1408.0,8803.79,470.489
1409.0,8784.56,470.48
1410.0,8765.39,470.472
1411.0,8746.27,470.464
1412.0,8727.21,470.456
1413.0,8708.21,470.448
1414.0,8689.27,470.44
1415.0,8670.38,470.432
1416.0,8651.55,470.424
1417.0,8632.77,470.416
1418.0,8614.05,470.408
1419.0,8595.39,470.401
1420.0,8576.78,470.393
1421.0,8558.23,470.385
1422.0,8539.73,470.377
1423.0,8521.28,470.369
1424.0,8502.9,470.361
1425.0,8484.56,470.353
1426.0,8466.28,470.346
1427.0,8448.06,470.338
1428.0,8429.89,470.33
1429.0,8411.77,470.322
1430.0,8393.71,470.315
1431.0,8375.7,470.307
1432.0,8357.74,470.299
1433.0,8339.84,470.292
1434.0,8321.99,470.284
1435.0,8304.19,470.276
1436.0,8286.44,470.269
1437.0,8268.75,470.261
1438.0,8251.11,470.253
1439.0,8233.52,470.246
1440.0,8215.99,470.238
